trip_id,driver_id,trip_date,pickup_city,dropoff_city,distance_km,duration_min,fare_eur,status,comment
5001,1101,2024-01-09,Lyon,lyon,15.0,43.0,25.12,completed,Client tres satisfait !!
5002,1134,2024-03-11,Lyon,Nice,36.4,88.0,45.75,completed,Probleme GPS  
5003,1020,2024-02-29,Marseille,LYON ,7.7,22.0,11.17,cancelled,Trajet nuit - majoration
5004,1122,2024-02-09,Paris,marseille,,31.0,16.98,cancelled,
5005,1108,2024-02-09,Marseille,LYON ,22.9,56.0,31.7,completed,Probleme GPS  
5006,1206,2024-03-19,Lyon,Nice,11.1,30.0,16.87,completed,retard depart
5007,1057,2024-01-08,Nice,lyon,10.6,33.0,15.47,completed,RAS
5008,1086,2024-03-04,Paris,  paris,20.4,44.0,33.7,cancelled,client VIP - a suivre
5009,1077,2024-01-19,Lyon,lyon,9.9,30.0,14.86,cancelled,RAS
5010,1214,2024-01-09,Marseille,LYON ,4.8,9.0,8.28,cancelled,
5011,1202,2024-02-17,Lyon,Marseille  ,18.1,49.0,25.21,completed,Trajet nuit - majoration
5012,1029,2024-03-29,Paris,lyon,2.9,8.0,5.98,cancelled,retard depart
5013,1188,2024-03-07,Nice,Nice,16.4,44.0,23.14,completed,RAS
5014,1220,2024-03-10,Paris,Paris,9.3,23.0,13.12,completed,retard depart
5015,1210,2024-03-06,Lyon,  paris,7.7,21.0,11.58,completed,
5016,1212,2024-03-12,Lyon,  paris,7.6,15.0,12.44,completed,Probleme GPS  
5017,1183,2024-02-16,Nice,Marseille  ,8.5,18.0,15.59,completed,RAS
5018,1136,2024-01-12,Nice, NICE,7.0,15.0,10.4,cancelled,retard depart
5019,1004,2024-03-17,Nice,LYON ,12.1,32.0,17.1,cancelled,Client tres satisfait !!
5020,1127,2024-02-10,Marseille,Nice,7.2,17.0,13.69,cancelled,Probleme GPS  
5021,1052,2024-02-15,Paris,LYON ,2.1,4.0,5.74,completed,
5022,1005,2024-02-03,Lyon,marseille,9.3,28.0,15.89,completed,retard depart
5023,1195,2024-01-17,Paris,Nice,2.0,5.0,4.94,completed,Client tres satisfait !!
5024,1152,2024-03-25,Paris,Nice,9.3,23.0,14.68,cancelled,Probleme GPS  
5025,1167,2024-03-12,Paris,Paris,6.9,16.0,10.82,completed,
5026,1026,2024-02-28,Nice,LYON ,15.7,32.0,20.78,completed,RAS
5027,1060,2024-02-06,Marseille,Marseille  ,7.9,22.0,12.69,completed,RAS
5028,1074,2024-03-15,Marseille,lyon,14.5,35.0,22.62,completed,retard depart
5029,1011,2024-02-19,Nice, NICE,13.5,25.0,19.78,completed,
5030,1074,2024-02-10,Marseille,LYON ,13.7,43.0,21.75,completed,annulation last minute
5031,1020,2024-02-10,Paris,lyon,8.1,24.0,12.61,completed,annulation last minute
5032,1087,2024-01-21,Marseille, NICE,9.7,27.0,14.85,completed,client VIP - a suivre
5033,1052,2024-01-09,Marseille,LYON ,11.9,36.0,20.29,cancelled,
