driver_id,age,second_language,rating,city,years_active,status
1037,33.0,no,4.27,Paris,7.0,inactive
1055,250.0,no,3.94,Paris,8.0,active
1164,27.0,french,4.42,Nice,4.0,active
1219,33.0,french,3.49,Marseille,8.0,active
1023,,no,4.47,PARIS,0.0,active
1180,,no,4.98,Marseille,11.0,active
1089,38.0,spanish,4.03,Lyon,4.0,nan
1061,21.0,Spanish,4.02,nan,0.0,suspended
1084,31.0,french,3.83,Lyon,5.0,inactive
1189,23.0,no,4.21,PARIS,7.0,active
1053,22.0,Spanish,4.98,Lyon,6.0,inactive
1123,36.0,german,3.58,Marseille,9.0,active
1159,30.0,german,4.68,Nice,5.0,inactive
1004,42.0,Spanish,4.17,Nice,3.0,active
1062,31.0,no,4.53,Paris,11.0,suspended
1158,42.0,nan,4.57,Nice,1.0,Inactive
1138,41.0,english,5.0,Nice,9.0,active
1173,30.0,nan,4.08,Lyon,3.0,active
1203,35.0,spanish,5.0,Marseille,2.0,active
1175,24.0,no,4.43,Marseille,7.0,active
1207,27.0,no,4.59,Nice,8.0,suspended
1004,42.0,Spanish,4.47,Nice,3.0,active
1056,29.0,spanish,3.55,Marseille,2.0,suspended
1128,24.0,no,,Marseille,0.0,active
1129,29.0,no,,Lyon,11.0,active
1027,38.0,spanish,4.61,Lyon,4.0,active
1114,22.0,nan,4.47,Marseille,11.0,active
1217,38.0,No,4.26,Paris,7.0,ACTIVE
1054,31.0,French,4.75,nan,6.0,active
1010,27.0,german,3.88,nan,7.0,active
1122,35.0,NO,4.39,Paris,1.0,active
1127,46.0,No,4.39,Marseille,6.0,suspended
1063,250.0,no,3.52,Paris,0.0,active
1096,22.0,german,4.21,Nice,0.0,active
1012,40.0,no,4.29,Paris,8.0,active
1030,37.0,No,3.73,Lyon,10.0,inactive
1104,,spanish,4.58,Paris,7.0,active
1195,25.0,no,5.0,Paris,8.0,active
1042,38.0,English,4.63,Marseille,5.0,suspended
1151,33.0,No,4.42,paris,3.0,suspended
1116,30.0,no,3.92,Lyon,9.0,active
1034,27.0,no,5.0,Lyon,3.0,active
1064,39.0,english,4.15,Paris,10.0,suspended
1157,35.0,no,3.98,Nice,9.0,active
1215,31.0,no,3.85,Lyon,1.0,Inactive
1003,40.0,english,4.23,Nice,0.0,active
1015,38.0,german,3.51,Nice,10.0,nan
1017,37.0,no,3.74,Marseille,10.0,inactive
1131,31.0,english,4.17,Nice,0.0,active
1218,45.0,spanish,3.45,nan,6.0,nan
1001,36.0,english,4.86,Lyon,6.0,inactive
1113,29.0,spanish,,nan,10.0,inactive
1026,31.0,no,4.39,Marseille,11.0,inactive
1022,29.0,no,3.82,Paris,9.0,inactive
1198,31.0,no,4.23,Lyon,11.0,active
1183,31.0,german,5.0,Lyon,6.0,active
1199,34.0,french,4.61,Paris,5.0,suspended
1102,44.0,spanish,4.63,Paris,3.0,suspended
1124,45.0,French,4.27,PARIS,11.0,suspended
1136,26.0,French,,Marseille,9.0,active
1181,250.0,german,3.78,Paris,6.0,suspended
